↓String-Id  /  Language →,Default,Japanese,French,Spanish,Italian,German,TraditionalChinese,SimplifiedChinese
ARGUMENT_STR,%s,,,,,,,
ARGUMENT_DECIMAL,%d,,,,,,,
GEN_OK,OK,OK,OK,Vale,OK,OK,確定,确定
GEN_CANCEL,Cancel,キャンセル,Annuler,Cancelar,Annulla,Abbrechen,取消,取消
GEN_YES,Yes,,,,,,,
GEN_NO,No,,,,,,,
GEN_LOW,Low,,,,,,,
GEN_LOW_ABBREVIATION,Lo,,,,,,,
GEN_MIDDLE,Mid,,,,,,,
GEN_HIGH,High,,,,,,,
GEN_HIGH_ABBREVIATION,Hi,,,,,,,
GEN_HOUR_ABBREVIATION,h,,,,,,,
GEN_MINUTE_ABBREVIATION,min,,,,,,,
GEN_RESET_QUESTION_MARK,Reset?,,,,,,,
GEN_BLUETOOTH,Bluetooth,,,,,,,
GEN_THREE_HYPHENS,---,,,,,,,
GEN_PLEASE_WAIT,Please wait…,,,,,,,
GEN_SPEED_KM_PER_HOUR,km/h,,,,,,,
GEN_SPEED_MILE_PER_HOUR,mile/h,,,,,,,
GEN_FUEL_UNIT_LITTER,L,,,,,,,
GEN_FUEL_UNIT_GALLON,gal,,,,,,,
TOP01_WARNING,WARNING,警告,AVERTISSEMENT,ATENCIÓN,AVVERTENZA,WARNUNG,警告,警告
TOP01_DISCLAIMER,Failure to pay attention while riding could result in death or serious injury. Always concentrate on riding by keeping your eyes and mind on the road. Read the Owner's Manual.,"運転中に注意を怠ると、死亡または重傷を負う可能性があります。常に交通状況を注視し、運転に集中してください。
取扱説明書をご確認ください。",Toute inattention lors de la conduite peut entraîner la mort ou des blessures graves. Concentrez-vous toujours sur la conduite en gardant vos yeux et votre esprit sur la route. Lisez votre mode d'emploi.,No prestar atención mientras se conduce puede producir heridas graves y la muerte. Concéntrese siempre en la conducción y mantenga la vista siempre en la carretera. Lea su manual de usuario.,Non prestare attenzione mentre si viaggia può causare lesioni gravi o decesso. Rimanete sempre concentrati sulla strada. Leggere il Manuale utente.,Unachtsamkeit während des Fahrens kann zu Verletzungen oder Tod führen. Konzentrieren Sie sich während der Fahrt immer auf die Straße. ,未專心騎乘車輛時，將可能導致重傷或死亡。騎乘中請務必保持專注，並隨時留意周遭之交通狀況。請詳閱車主手冊。,骑行时不注意安全可能会导致死亡或重伤。请随时注意道路状况和周围的环境，专心骑行。请参阅《用户手册》。
TOP01_ACCEPT,ACCEPT,確認,ACCEPTER,ACEPTAR,ACCETTA,Akzeptiert,知悉並同意,接受
BRT01_TFT_DISPLAY,TFT display,,,,,,,
BRT01_SPEED_METER,Speed meter,,,,,,,
BRT02_MAX,Max.,,,,,,,
BRT02_MIN,Min.,,,,,,,
CLK01_AUTO_ADJUSTMENT,Auto Adjustment,,,,,,,
CLK01_MANUAL_ADJUSTMENT,Manual Adjustment,,,,,,,
CLK02_DAY,Day,,,,,,,
CLK02_MONTH,Month,,,,,,,
CLK02_YEAR,Year,,,,,,,
CLK02_AM,AM,,,,,,,
CLK02_PM,PM,,,,,,,
CLK02_HOUR,Hour,,,,,,,
CLK02_MINUTE,Min.,,,,,,,
CLK03_SET_CLOCK,Set Clock?,,,,,,,
GPW01_GRIP_WARMER,Grip Warmer,,,,,,,
HOM11_X1000R_MIN,x1000r/min,,,,,,,
HOM12_AVG,AVG,,,,,,,
HOM12_AVG_fuel,AVG FUEL,,,,,,,
HOM13_SPEED_LIMIT,SPEED LIMIT,,,,,,,
HOM03_AVG_SPEED,AVG SPEED,,,,,,,
HOM03_AVG_FUEL,AVG FUEL,,,,,,,
HOM03_INST_FUEL,INST FUEL,,,,,,,
HOM03_TRIP_TIME,TRIP TIME,,,,,,,
HOM03_RANGE,RANGE,,,,,,,
HOM03_FUEL_CONSUMPTION,FUEL CONS,,,,,,,
HOM03_AIR,AIR,,,,,,,
HOM03_COOLANT,COOLANT,,,,,,,
HOM03_BATTERY,BATTERY,,,,,,,
HOM03_FRONT_R,FRONT (R),,,,,,,
HOM03_FRONT_L,FRONT (L),,,,,,,
HOM03_FRONT,FRONT,,,,,,,
HOM03_REAR,REAR,,,,,,,
HOM03_CRUISE,CRUISE,,,,,,,
INF01_TACHO_VISUALIZER,Tacho visualizer,,,,,,,
INF01_ECHO_VISUALIZER,ECO visualizer,,,,,,,
INF01_SPEED_VISUALIZER,Speed visualizer,,,,,,,
INF26_ODO,ODO,,,,,,,
INF26_TRIP_1,TRIP 1,,,,,,,
INF26_TRIP_2,TRIP 2,,,,,,,
INF26_TRIP_F,TRIP F,,,,,,,
LNC_METER_DISPLAY,Meter display,,,,,,,
LNC_ODO_TRIP,ODO/TRIP,,,,,,,
LNC_MUSIC,Music,,,,,,,
LNC_PHONE,Phone,,,,,,,
LNC_NAVIGATION,Navigation,,,,,,,
LNC_WEATHER,Weather,,,,,,,
LNC_NOTIFICATION,Notification,,,,,,,
LNC_SEAT_HEATER,Seat Heater,,,,,,,
